player_name,competition,season_label,innings,total_runs,avg_runs,strike_rate,batting_index,role
Chris Lynn,BBL,2024-25,7,230,32.86,165.47,5436.79,Aggressive Top Order
Ben Duckett,BBL,2024-25,7,243,34.71,154.78,5372.98,Aggressive Top Order
Matt Renshaw,BBL,2024-25,9,280,31.11,169.7,5279.46,Aggressive Top Order
James Vince,BBL,2024-25,6,228,38.0,139.02,5282.93,Balanced
David Warner,BBL,2024-25,12,405,33.75,141.61,4779.28,Balanced
Cooper Connolly,BBL,2024-25,10,351,35.1,131.46,4614.27,Balanced
Alex Ross,BBL,2024-25,10,256,25.6,141.44,3620.77,Balanced
Ashton Turner,BBL,2024-25,10,240,24.0,147.24,3533.74,Balanced
Marcus Stoinis,BBL,2024-25,11,311,28.27,124.4,3517.13,Balanced
Beau Webster,BBL,2024-25,7,184,26.29,128.67,3382.22,Balanced
Ben McDermott,BBL,2024-25,8,186,23.25,144.19,3352.33,Balanced
Nathan McSweeney,BBL,2024-25,8,209,26.13,125.9,3289.23,Balanced
Sam Billings,BBL,2024-25,11,271,24.64,132.84,3272.77,Balanced
Jordan Silk,BBL,2024-25,8,196,24.5,132.43,3244.59,Balanced
Jacob Bethell,BBL,2024-25,8,195,24.38,125.0,3046.88,Balanced
Nikhil Chaudhary,BBL,2024-25,10,232,23.2,128.89,2990.22,Balanced
Moises Henriques,BBL,2024-25,10,236,23.6,124.21,2931.37,Balanced
D Arcy Short,BBL,2024-25,9,188,20.89,135.25,2825.26,Balanced
Will Sutherland,BBL,2024-25,9,191,21.22,130.82,2776.33,Balanced
Kurtis Patterson,BBL,2024-25,6,130,21.67,127.45,2761.44,Balanced
Caleb Jewell,BBL,2024-25,7,164,23.43,115.49,2705.84,Balanced
Matthew Wade,BBL,2024-25,9,168,18.67,141.18,2635.29,Balanced
Jake Fraser-McGurk,BBL,2024-25,10,188,18.8,138.24,2598.82,Balanced
Ollie Pope,BBL,2024-25,9,191,21.22,122.44,2598.36,Balanced
Josh Philippe,BBL,2024-25,10,195,19.5,132.65,2586.73,Balanced
Matthew Gilkes,BBL,2024-25,8,157,19.63,130.83,2567.6,Balanced
Tim Seifert,BBL,2024-25,10,200,20.0,122.7,2453.99,Balanced
Oliver Davies,BBL,2024-25,9,172,19.11,113.16,2162.57,Balanced
Laurie Evans,BBL,2024-25,7,102,14.57,136.0,1981.71,Balanced
Aaron Hardie,BBL,2024-25,7,120,17.14,106.19,1820.48,Balanced
Tom Curran,BBL,2024-25,6,82,13.67,130.16,1778.84,Balanced
Jack Edwards,BBL,2024-25,7,90,12.86,121.62,1563.71,Balanced
Sam Harper,BBL,2024-25,11,153,13.91,109.29,1520.06,Balanced
Ashton Agar,BBL,2024-25,6,66,11.0,134.69,1481.63,Balanced
Thomas Stewart Rogers,BBL,2024-25,9,99,11.0,128.57,1414.29,Balanced
Hilton Cartwright,BBL,2024-25,11,130,11.82,119.27,1409.51,Balanced
Sherfane Rutherford,BBL,2024-25,6,74,12.33,110.45,1362.19,Balanced
Chris Green,BBL,2024-25,9,92,10.22,126.03,1288.28,Balanced
Chris Jordan,BBL,2024-25,7,61,8.71,132.61,1155.59,Balanced
Fergus O Neill,BBL,2024-25,7,54,7.71,96.43,743.88,Balanced
Hugh Weibgen,BBL,2024-25,6,46,7.67,92.0,705.33,Balanced
Colin Munro,BBL,2024-25,6,46,7.67,62.16,476.58,Balanced
Mitchell Owen,BBL,2024-25,11,452,41.09,203.6,8366.26,Explosive Finisher
Glenn Maxwell,BBL,2024-25,9,325,36.11,186.78,6744.89,Explosive Finisher
Matthew Short,BBL,2024-25,7,236,33.71,171.01,5765.63,Explosive Finisher
Tim David,BBL,2024-25,9,254,28.22,177.62,5012.9,Explosive Finisher
Finn Allen,BBL,2024-25,10,181,18.1,184.69,3342.96,Explosive Finisher
Ben Dwarshuis,BBL,2024-25,8,146,18.25,173.81,3172.02,Explosive Finisher
James Bazley,BBL,2024-25,6,81,13.5,176.09,2377.17,Explosive Finisher
Max Bryant,BBL,2024-25,9,259,28.78,164.97,4747.42,Power Hitter
Jamie Overton,BBL,2024-25,9,191,21.22,156.56,3322.5,Power Hitter
Josh Brown,BBL,2024-25,9,183,20.33,155.08,3153.39,Power Hitter
Nick Hobson,BBL,2024-25,9,153,17.0,150.0,2550.0,Power Hitter
Usman Khan,BPL,2024-25,7,230,32.86,167.88,5516.16,Aggressive Top Order
Dawid Malan,BPL,2024-25,7,230,32.86,158.62,5211.82,Aggressive Top Order
Graham Clark,BPL,2024-25,12,373,31.08,161.47,5019.08,Aggressive Top Order
Mohammad Naim,BPL,2024-25,13,482,37.08,142.18,5271.7,Balanced
Zakir Hasan,BPL,2024-25,10,323,32.3,132.92,4293.37,Balanced
Anamul Haque,BPL,2024-25,10,319,31.9,126.09,4022.17,Balanced
William Bosisto,BPL,2024-25,9,254,28.22,138.8,3917.18,Balanced
Mahmudullah,BPL,2024-25,8,206,25.75,143.06,3683.68,Balanced
Iftikhar Ahmed,BPL,2024-25,10,296,29.6,121.31,3590.82,Balanced
